site,date,time,reported_entero_MPN_100_per_mL,Notes,entero_MPN_100_per_mL,rainfall_0,rainfall_1,rainfall_2,rainfall_3,rainfall_4,rainfall_5,rainfall_6,rainfall_sum_24,rainfall_sum_48,rainfall_sum_72,rainfall_pres_24,rainfall_pres_48,rainfall_pres_72
"JFK Marina (Yonkers), Hudson River",9/29/2016,10:28 AM,2190,,2190,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Yonkers Paddling and Rowing Club, Hudson River",9/29/2016,12:29 PM,190,,190,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Yonkers, Saw Mill River (daylighted section)",9/29/2016,12:42 AM,30,,30,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Muscota Marsh, Harlem River",9/29/2016,11:40 AM,63,,63,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"North Cove, Harlem River",9/29/2016,12:04 PM,97,,97,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Peter J. Sharp Boathouse, Harlem River",9/29/2016,8:44 AM,20,,20,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Bronx Kill West, Randalls Island",9/29/2016,8:40 AM,135,,135,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Bronx Kill East, Randalls Island",9/29/2016,8:17 AM,121,,121,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Little Hell Gate, Randalls Island",9/29/2016,9:20 AM,75,41 (lab split),75,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Inwood Canoe Club, Hudson River",9/29/2016,8:00 AM,31,,31,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"West 145th Street, Hudson River",9/29/2016,1:20 PM,86,,86,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"West 133rd St., Hudson River",9/29/2016,1:29 PM,20,,20,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"West 100th Street, Hudson River",9/29/2016,1:40 PM,41,,41,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier I (70th Street), Hudson River",9/29/2016,8:30 AM,135,,135,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 99 boat ramp, Hudson River",9/29/2016,8:04 AM,269,,269,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 96, Hudson River ",9/29/2016,7:50 AM,<10,,5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 84, Hudson River ",9/29/2016,7:42 AM,31,,31,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 66, Hudson River ",9/29/2016,10:40 AM,10,,10,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 40, Hudson River",9/29/2016,11:50 AM,<10,,5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 26, Hudson River ",9/29/2016,9:20 AM,<10,,5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 13 (Hoboken), Hudson River",9/29/2016,8:05 AM,10,,10,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Hoboken Cove Beach, Hudson River",9/29/2016,8:10 AM,3873,,3873,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Hunts Point Riverside Park, Bronx River",9/29/2016,,,,,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"World's Fair Marina Pier 1 East, Flushing Bay",9/29/2016,8:42 AM,61,,61,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"World's Fair Marina Pier 1 West, Flushing Bay",9/29/2016,8:32 AM,63,,63,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"World's Fair Marina boat ramp, Flushing Bay",9/29/2016,8:20 AM,84,,84,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
Flushing Creek,9/29/2016,9:46 AM,144,,144,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
Meadow Lake (Flushing Meadows-Corona Park),9/29/2016,10:07 AM,6867,,6867,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
Little Neck Bay,9/29/2016,8:12 AM,<10,,5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Hallets Cove, East River",9/29/2016,3:30 PM,31,,31,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Anable Basin, East River",9/29/2016,11:10 AM,41,,41,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Gantry State Park, East River",9/29/2016,7:07 AM,10,,10,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"North Brooklyn Boat Club, Newtown Creek",9/29/2016,8:04 AM,20,,20,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"North Henry Street, Newtown Creek",9/29/2016,9:50 AM,464,,464,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Stuyvesant Cove, East River",9/29/2016,9:30 AM,<10,10 (lab split),5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
Bushwick Inlet Park,9/29/2016,10:20 AM,1334,,1334,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Wallabout Channel, Brooklyn Navy Yard",9/29/2016,9:10 AM,52,,52,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 42/Jackson St., East River",9/29/2016,10:00 AM,10,,10,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Main Street Beach (Dumbo), East River",9/29/2016,9:57 AM,1517,,1517,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Brooklyn Bridge Beach (Manhattan), East River",9/29/2016,10:10 AM,187,,187,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 2 kayak dock, Brooklyn Bridge Park, East River",9/29/2016,10:53 AM,<10,,5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 4 beach, Brooklyn Bridge Park, East River",9/29/2016,10:51 AM,399,,399,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Valentino Pier, Buttermilk Channel",9/29/2016,10:44 AM,52,,52,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"2nd St. Sponge Park, Gowanus Canal",9/29/2016,7:20 AM,<10,,5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Butler St., Gowanus Canal",9/29/2016,7:11 AM,743,,743,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
Prospect Park Lake,9/29/2016,7:40 AM,84,,84,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Pier 101, Governors Island",9/29/2016,,,,,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Bush Terminal Park, Sunset Park",9/29/2016,,,,,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Sebago Canoe Club, Paerdegat Basin",9/29/2016,9:34 AM,<10,,5,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Calvert Vaux Park, Coney Island Creek ",9/29/2016,10:25 AM,160,,160,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"Kaiser Park Beach, Coney Island Creek",9/29/2016,10:35 AM,52,,52,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"West 20th St., Coney Island Creek",9/29/2016,,,,,0,0,0.22,0,0,0.2,0.01,0,0.22,0.22,N,Y,Y
"JFK Marina (Yonkers), Hudson River",9/22/2016,11:25 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Yonkers Paddling and Rowing Club, Hudson River",9/22/2016,10:52 AM,10,,10,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Yonkers, Saw Mill River (daylighted section)",9/22/2016,11:45 AM,85,,85,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Muscota Marsh, Harlem River",9/22/2016,9:55 AM,10,,10,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"North Cove, Harlem River",9/22/2016,11:07 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Peter J. Sharp Boathouse, Harlem River",9/22/2016,8:35 AM,20,,20,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Bronx Kill West, Randalls Island",9/22/2016,9:11 AM,199,,199,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Bronx Kill East, Randalls Island",9/22/2016,8:42 AM,20,,20,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Little Hell Gate, Randalls Island",9/22/2016,9:38 AM,10,,10,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Inwood Canoe Club, Hudson River",9/22/2016,7:49 AM,52,,52,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"West 145th Street, Hudson River",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"West 133rd St., Hudson River",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"West 100th Street, Hudson River",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier I (70th Street), Hudson River",9/22/2016,8:30 AM,20,,20,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 99 boat ramp, Hudson River",9/22/2016,12:56 PM,161,,161,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 96, Hudson River ",9/22/2016,8:04 AM,63,,63,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 84, Hudson River ",9/22/2016,7:53 AM,20,,20,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 66, Hudson River ",9/22/2016,12:00 PM,<10,10 (lab split),5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 40, Hudson River",9/22/2016,12:24 PM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 26, Hudson River ",9/22/2016,10:25 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 13 (Hoboken), Hudson River",9/22/2016,11:00 AM,10,,10,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Hoboken Cove Beach, Hudson River",9/22/2016,11:10 AM,20,,20,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Hunts Point Riverside Park, Bronx River",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"World's Fair Marina Pier 1 East, Flushing Bay",9/22/2016,8:33 AM,96,,96,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"World's Fair Marina Pier 1 West, Flushing Bay",9/22/2016,8:25 AM,359,,359,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"World's Fair Marina boat ramp, Flushing Bay",9/22/2016,8:10 AM,31,,31,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
Flushing Creek,9/22/2016,9:26 AM,228,,228,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
Meadow Lake (Flushing Meadows-Corona Park),9/22/2016,9:43 AM,638,,638,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
Little Neck Bay,9/22/2016,8:21 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Hallets Cove, East River",9/22/2016,8:55 AM,130,,130,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Anable Basin, East River",9/22/2016,10:00 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Gantry State Park, East River",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"North Brooklyn Boat Club, Newtown Creek",9/22/2016,8:42 AM,81,80 (lab split),81,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"North Henry Street, Newtown Creek",9/22/2016,10:37 AM,63,,63,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Stuyvesant Cove, East River",9/22/2016,12:26 PM,51,,51,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
Bushwick Inlet Park,9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Wallabout Channel, Brooklyn Navy Yard",9/22/2016,11:57 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 42/Jackson St., East River",9/22/2016,12:15 PM,10,,10,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Main Street Beach (Dumbo), East River",9/22/2016,11:46 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Brooklyn Bridge Beach (Manhattan), East River",9/22/2016,9:45 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 2 kayak dock, Brooklyn Bridge Park, East River",9/22/2016,9:53 AM,41,,41,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 4 beach, Brooklyn Bridge Park, East River",9/22/2016,9:50 AM,<10,,5,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Valentino Pier, Buttermilk Channel",9/22/2016,9:42 AM,368,,368,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"2nd St. Sponge Park, Gowanus Canal",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Butler St., Gowanus Canal",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
Prospect Park Lake,9/22/2016,8:45 AM,331,,331,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Pier 101, Governors Island",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Bush Terminal Park, Sunset Park",9/22/2016,,,,,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Sebago Canoe Club, Paerdegat Basin",9/22/2016,9:43 AM,51,,51,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Calvert Vaux Park, Coney Island Creek ",9/22/2016,10:00 AM,31,,31,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"Kaiser Park Beach, Coney Island Creek",9/22/2016,10:20 AM,96,,96,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"West 20th St., Coney Island Creek",9/22/2016,6:14 AM,327,,327,0,0,0,0.68,0,0,0,0,0,0.68,N,N,Y
"JFK Marina (Yonkers), Hudson River",9/15/2016,11:11 AM,160,,160,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Yonkers Paddling and Rowing Club, Hudson River",9/15/2016,10:48 AM,150,,150,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Yonkers, Saw Mill River (daylighted section)",9/15/2016,11:44 AM,50,,50,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Muscota Marsh, Harlem River",9/15/2016,8:15 AM,10,,10,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"North Cove, Harlem River",9/15/2016,8:38 AM,96,,96,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Peter J. Sharp Boathouse, Harlem River",9/15/2016,10:03 AM,<10,,5,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Bronx Kill West, Randalls Island",9/15/2016,8:35 AM,62,,62,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Bronx Kill East, Randalls Island",9/15/2016,8:25 AM,238,,238,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Little Hell Gate, Randalls Island",9/15/2016,8:52 AM,74,,74,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Inwood Canoe Club, Hudson River",9/15/2016,8:50 AM,153,,153,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"West 145th Street, Hudson River",9/15/2016,9:15 AM,30,,30,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"West 133rd St., Hudson River",9/15/2016,10:00 AM,20,,20,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"West 100th Street, Hudson River",9/15/2016,9:00 AM,120,52 (Lab split),120,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier I (70th Street), Hudson River",9/15/2016,8:30 AM,228,,228,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 99 boat ramp, Hudson River",9/15/2016,9:11 AM,1723,,1723,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 96, Hudson River ",9/15/2016,10:30 AM,63,,63,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 84, Hudson River ",9/15/2016,10:15 AM,31,,31,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 66, Hudson River ",9/15/2016,11:10 AM,41,,41,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 40, Hudson River",9/15/2016,12:34 PM,31,,31,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 26, Hudson River ",9/15/2016,10:10 AM,31,,31,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 13 (Hoboken), Hudson River",9/15/2016,9:30 AM,31,,31,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Hoboken Cove Beach, Hudson River",9/15/2016,10:15 AM,226,,226,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Hunts Point Riverside Park, Bronx River",9/15/2016,,,,,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"World's Fair Marina Pier 1 East, Flushing Bay",9/15/2016,8:28 AM,>24196,,24196,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"World's Fair Marina Pier 1 West, Flushing Bay",9/15/2016,8:19 AM,>24196,,24196,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"World's Fair Marina boat ramp, Flushing Bay",9/15/2016,8:01 AM,>24196,,24196,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
Flushing Creek,9/15/2016,9:35 AM,24196,,24196,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
Meadow Lake (Flushing Meadows-Corona Park),9/15/2016,9:52 AM,24196,,24196,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
Little Neck Bay,9/15/2016,8:12 AM,41,,41,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Hallets Cove, East River",9/15/2016,1:10 PM,122,,122,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Anable Basin, East River",9/15/2016,10:45 AM,52,,52,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Gantry State Park, East River",9/15/2016,6:43 AM,97,,97,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"North Brooklyn Boat Club, Newtown Creek",9/15/2016,7:59 AM,>24196,,24196,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"North Henry Street, Newtown Creek",9/15/2016,10:25 AM,12033,,12033,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Stuyvesant Cove, East River",9/15/2016,8:20 AM,132,,132,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
Bushwick Inlet Park,9/15/2016,7:11 AM,616,,616,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Wallabout Channel, Brooklyn Navy Yard",9/15/2016,10:38 AM,>24196,,24196,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 42/Jackson St., East River",9/15/2016,8:40 AM,63,,63,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Main Street Beach (Dumbo), East River",9/15/2016,11:52 AM,63,,63,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Brooklyn Bridge Beach (Manhattan), East River",9/15/2016,10:20 AM,285,,285,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 2 kayak dock, Brooklyn Bridge Park, East River",9/15/2016,11:13 AM,31,,31,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 4 beach, Brooklyn Bridge Park, East River",9/15/2016,11:09 AM,489,,489,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Valentino Pier, Buttermilk Channel",9/15/2016,11:10 AM,30,,30,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"2nd St. Sponge Park, Gowanus Canal",9/15/2016,5:20 AM,241,,241,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Butler St., Gowanus Canal",9/15/2016,5:08 AM,15531,,15531,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
Prospect Park Lake,9/15/2016,7:30 AM,226,,226,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Pier 101, Governors Island",9/15/2016,,,,,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Bush Terminal Park, Sunset Park",9/15/2016,,,,,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Sebago Canoe Club, Paerdegat Basin",9/15/2016,10:40 AM,<10,,5,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Calvert Vaux Park, Coney Island Creek ",9/15/2016,10:50 AM,10,,10,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"Kaiser Park Beach, Coney Island Creek",9/15/2016,10:35 AM,<10,,5,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"West 20th St., Coney Island Creek",9/15/2016,6:46 AM,<10,,5,0,0.56,0,0,0,0,0.22,0.56,0.56,0.56,Y,Y,Y
"JFK Marina (Yonkers), Hudson River",9/8/2016,11:42 AM,20,,20,0,0,0,0,0,0,0,0,0,0,N,N,N
"Yonkers Paddling and Rowing Club, Hudson River",9/8/2016,10:25 AM,10,,10,0,0,0,0,0,0,0,0,0,0,N,N,N
"Yonkers, Saw Mill River (daylighted section)",9/8/2016,11:54 AM,52,,52,0,0,0,0,0,0,0,0,0,0,N,N,N
"Muscota Marsh, Harlem River",9/8/2016,11:02 AM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"North Cove, Harlem River",9/8/2016,11:26 AM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"Peter J. Sharp Boathouse, Harlem River",9/8/2016,8:43 AM,97,,97,0,0,0,0,0,0,0,0,0,0,N,N,N
"Bronx Kill West, Randalls Island",9/8/2016,8:30 AM,226,,226,0,0,0,0,0,0,0,0,0,0,N,N,N
"Bronx Kill East, Randalls Island",9/8/2016,8:09 AM,41,,41,0,0,0,0,0,0,0,0,0,0,N,N,N
"Little Hell Gate, Randalls Island",9/8/2016,8:56 AM,98,,98,0,0,0,0,0,0,0,0,0,0,N,N,N
"Inwood Canoe Club, Hudson River",9/8/2016,11:30 AM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"West 145th Street, Hudson River",9/8/2016,9:24 AM,20,,20,0,0,0,0,0,0,0,0,0,0,N,N,N
"West 133rd St., Hudson River",9/8/2016,9:39 AM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"West 100th Street, Hudson River",9/8/2016,9:01 AM,20,,20,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier I (70th Street), Hudson River",9/8/2016,8:30 AM,73,,73,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 99 boat ramp, Hudson River",9/8/2016,12:38 PM,63,,63,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 96, Hudson River ",9/8/2016,8:07 AM,10,,10,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 84, Hudson River ",9/8/2016,7:58 AM,10,,10,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 66, Hudson River ",9/8/2016,,,,,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 40, Hudson River",9/8/2016,12:14 PM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 26, Hudson River ",9/8/2016,12:16 PM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 13 (Hoboken), Hudson River",9/8/2016,11:56 AM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"Hoboken Cove Beach, Hudson River",9/8/2016,12:13 PM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"Hunts Point Riverside Park, Bronx River",9/8/2016,,,,,0,0,0,0,0,0,0,0,0,0,N,N,N
"World's Fair Marina Pier 1 East, Flushing Bay",9/8/2016,8:28 AM,63,,63,0,0,0,0,0,0,0,0,0,0,N,N,N
"World's Fair Marina Pier 1 West, Flushing Bay",9/8/2016,8:18 AM,10,,10,0,0,0,0,0,0,0,0,0,0,N,N,N
"World's Fair Marina boat ramp, Flushing Bay",9/8/2016,8:06 AM,51,,51,0,0,0,0,0,0,0,0,0,0,N,N,N
Flushing Creek,9/8/2016,9:45 AM,253,,253,0,0,0,0,0,0,0,0,0,0,N,N,N
Meadow Lake (Flushing Meadows-Corona Park),9/8/2016,10:00 AM,19863,,19863,0,0,0,0,0,0,0,0,0,0,N,N,N
Little Neck Bay,9/8/2016,8:12 AM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"Hallets Cove, East River",9/8/2016,4:30 PM,41,,41,0,0,0,0,0,0,0,0,0,0,N,N,N
"Anable Basin, East River",9/8/2016,9:30 AM,31,,31,0,0,0,0,0,0,0,0,0,0,N,N,N
"Gantry State Park, East River",9/8/2016,9:52 AM,97,,97,0,0,0,0,0,0,0,0,0,0,N,N,N
"North Brooklyn Boat Club, Newtown Creek",9/8/2016,8:15 AM,30,,30,0,0,0,0,0,0,0,0,0,0,N,N,N
"North Henry Street, Newtown Creek",9/8/2016,9:40 AM,158,,158,0,0,0,0,0,0,0,0,0,0,N,N,N
"Stuyvesant Cove, East River",9/8/2016,9:40 AM,10,,10,0,0,0,0,0,0,0,0,0,0,N,N,N
Bushwick Inlet Park,9/8/2016,10:40 AM,20,,20,0,0,0,0,0,0,0,0,0,0,N,N,N
"Wallabout Channel, Brooklyn Navy Yard",9/8/2016,7:19 AM,109,63 (lab split),109,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 42/Jackson St., East River",9/8/2016,10:20 AM,10,,10,0,0,0,0,0,0,0,0,0,0,N,N,N
"Main Street Beach (Dumbo), East River",9/8/2016,7:31 AM,<10,,5,0,0,0,0,0,0,0,0,0,0,N,N,N
"Brooklyn Bridge Beach (Manhattan), East River",9/8/2016,9:35 AM,10,,10,0,0,0,0,0,0,0,0,0,0,N,N,N
"Pier 2 kayak dock, Brooklyn Bridge Park, East River",9/8/2016,10:04 AM,52,,52,0,0,0,0,0,0,0,0,0,0,N,N,N
